"GEO_ID","NAME","P053001","P053001A",
"Geography","Label for GEO_ID","Median household income in 1999","Annotation of Median household income in 1999",
"1500000US060014001001","Block Group 1, Census Tract 4001, Alameda County, California","133272","null",
"1500000US060014002001","Block Group 1, Census Tract 4002, Alameda County, California","92479","null",
"1500000US060014002002","Block Group 2, Census Tract 4002, Alameda County, California","70688","null",
"1500000US060014003001","Block Group 1, Census Tract 4003, Alameda County, California","72557","null",
"1500000US060014003002","Block Group 2, Census Tract 4003, Alameda County, California","52310","null",
"1500000US060014003003","Block Group 3, Census Tract 4003, Alameda County, California","41902","null",
"1500000US060014003004","Block Group 4, Census Tract 4003, Alameda County, California","67574","null",
"1500000US060014004001","Block Group 1, Census Tract 4004, Alameda County, California","57083","null",
"1500000US060014004002","Block Group 2, Census Tract 4004, Alameda County, California","57917","null",
"1500000US060014004003","Block Group 3, Census Tract 4004, Alameda County, California","55909","null",
"1500000US060014004004","Block Group 4, Census Tract 4004, Alameda County, California","62708","null",
"1500000US060014005001","Block Group 1, Census Tract 4005, Alameda County, California","47708","null",
"1500000US060014005002","Block Group 2, Census Tract 4005, Alameda County, California","36912","null",
"1500000US060014005003","Block Group 3, Census Tract 4005, Alameda County, California","36458","null",
"1500000US060014005004","Block Group 4, Census Tract 4005, Alameda County, California","41316","null",
"1500000US060014006001","Block Group 1, Census Tract 4006, Alameda County, California","41923","null",
"1500000US060014006002","Block Group 2, Census Tract 4006, Alameda County, California","45139","null",
"1500000US060014007001","Block Group 1, Census Tract 4007, Alameda County, California","25625","null",
"1500000US060014007002","Block Group 2, Census Tract 4007, Alameda County, California","27891","null",
"1500000US060014007003","Block Group 3, Census Tract 4007, Alameda County, California","41724","null",
"1500000US060014007004","Block Group 4, Census Tract 4007, Alameda County, California","28448","null",
"1500000US060014008001","Block Group 1, Census Tract 4008, Alameda County, California","28958","null",
"1500000US060014008002","Block Group 2, Census Tract 4008, Alameda County, California","31094","null",
"1500000US060014008003","Block Group 3, Census Tract 4008, Alameda County, California","43167","null",
"1500000US060014009001","Block Group 1, Census Tract 4009, Alameda County, California","29420","null",
"1500000US060014009002","Block Group 2, Census Tract 4009, Alameda County, California","29239","null",
"1500000US060014010001","Block Group 1, Census Tract 4010, Alameda County, California","25881","null",
"1500000US060014010002","Block Group 2, Census Tract 4010, Alameda County, California","31863","null",
"1500000US060014010003","Block Group 3, Census Tract 4010, Alameda County, California","33409","null",
"1500000US060014010004","Block Group 4, Census Tract 4010, Alameda County, California","16641","null",
"1500000US060014010005","Block Group 5, Census Tract 4010, Alameda County, California","22148","null",
"1500000US060014010006","Block Group 6, Census Tract 4010, Alameda County, California","26183","null",
"1500000US060014011001","Block Group 1, Census Tract 4011, Alameda County, California","41630","null",
"1500000US060014011002","Block Group 2, Census Tract 4011, Alameda County, California","33073","null",
"1500000US060014011003","Block Group 3, Census Tract 4011, Alameda County, California","34120","null",
"1500000US060014011004","Block Group 4, Census Tract 4011, Alameda County, California","25450","null",
"1500000US060014012001","Block Group 1, Census Tract 4012, Alameda County, California","60583","null",
"1500000US060014012002","Block Group 2, Census Tract 4012, Alameda County, California","44219","null",
"1500000US060014012003","Block Group 3, Census Tract 4012, Alameda County, California","36375","null",
"1500000US060014013001","Block Group 1, Census Tract 4013, Alameda County, California","26250","null",
"1500000US060014013002","Block Group 2, Census Tract 4013, Alameda County, California","10966","null",
