"GEO_ID","NAME","H063001","H063001A",
"Geography","Label for GEO_ID","Median gross rent","Annotation of Median gross rent",
"1500000US060014001001","Block Group 1, Census Tract 4001, Alameda County, California","1913","null",
"1500000US060014002001","Block Group 1, Census Tract 4002, Alameda County, California","1183","null",
"1500000US060014002002","Block Group 2, Census Tract 4002, Alameda County, California","815","null",
"1500000US060014003001","Block Group 1, Census Tract 4003, Alameda County, California","753","null",
"1500000US060014003002","Block Group 2, Census Tract 4003, Alameda County, California","848","null",
"1500000US060014003003","Block Group 3, Census Tract 4003, Alameda County, California","661","null",
"1500000US060014003004","Block Group 4, Census Tract 4003, Alameda County, California","891","null",
"1500000US060014004001","Block Group 1, Census Tract 4004, Alameda County, California","1002","null",
"1500000US060014004002","Block Group 2, Census Tract 4004, Alameda County, California","828","null",
"1500000US060014004003","Block Group 3, Census Tract 4004, Alameda County, California","913","null",
"1500000US060014004004","Block Group 4, Census Tract 4004, Alameda County, California","913","null",
"1500000US060014005001","Block Group 1, Census Tract 4005, Alameda County, California","784","null",
"1500000US060014005002","Block Group 2, Census Tract 4005, Alameda County, California","767","null",
"1500000US060014005003","Block Group 3, Census Tract 4005, Alameda County, California","816","null",
"1500000US060014005004","Block Group 4, Census Tract 4005, Alameda County, California","696","null",
"1500000US060014006001","Block Group 1, Census Tract 4006, Alameda County, California","683","null",
"1500000US060014006002","Block Group 2, Census Tract 4006, Alameda County, California","755","null",
"1500000US060014007001","Block Group 1, Census Tract 4007, Alameda County, California","648","null",
"1500000US060014007002","Block Group 2, Census Tract 4007, Alameda County, California","617","null",
"1500000US060014007003","Block Group 3, Census Tract 4007, Alameda County, California","833","null",
"1500000US060014007004","Block Group 4, Census Tract 4007, Alameda County, California","705","null",
"1500000US060014008001","Block Group 1, Census Tract 4008, Alameda County, California","546","null",
"1500000US060014008002","Block Group 2, Census Tract 4008, Alameda County, California","760","null",
"1500000US060014008003","Block Group 3, Census Tract 4008, Alameda County, California","726","null",
"1500000US060014009001","Block Group 1, Census Tract 4009, Alameda County, California","728","null",
"1500000US060014009002","Block Group 2, Census Tract 4009, Alameda County, California","687","null",
"1500000US060014010001","Block Group 1, Census Tract 4010, Alameda County, California","589","null",
"1500000US060014010002","Block Group 2, Census Tract 4010, Alameda County, California","763","null",
"1500000US060014010003","Block Group 3, Census Tract 4010, Alameda County, California","703","null",
"1500000US060014010004","Block Group 4, Census Tract 4010, Alameda County, California","495","null",
"1500000US060014010005","Block Group 5, Census Tract 4010, Alameda County, California","513","null",
"1500000US060014010006","Block Group 6, Census Tract 4010, Alameda County, California","589","null",
"1500000US060014011001","Block Group 1, Census Tract 4011, Alameda County, California","879","null",
"1500000US060014011002","Block Group 2, Census Tract 4011, Alameda County, California","724","null",
"1500000US060014011003","Block Group 3, Census Tract 4011, Alameda County, California","663","null",
"1500000US060014011004","Block Group 4, Census Tract 4011, Alameda County, California","678","null",
"1500000US060014012001","Block Group 1, Census Tract 4012, Alameda County, California","896","null",
"1500000US060014012002","Block Group 2, Census Tract 4012, Alameda County, California","784","null",
"1500000US060014012003","Block Group 3, Census Tract 4012, Alameda County, California","694","null",
"1500000US060014013001","Block Group 1, Census Tract 4013, Alameda County, California","573","null",
"1500000US060014013002","Block Group 2, Census Tract 4013, Alameda County, California","448","null",
"1500000US060014013003","Block Group 3, Census Tract 4013, Alameda County, California","544","null",
"1500000US060014014001","Block Group 1, Census Tract 4014, Alameda County, California","538","null",
"1500000US060014014002","Block Group 2, Census Tract 4014, Alameda County, California","585","null",
"1500000US060014014003","Block Group 3, Census Tract 4014, Alameda County, California","754","null",
"1500000US060014015001","Block Group 1, Census Tract 4015, Alameda County, California","568","null",
"1500000US060014015002","Block Group 2, Census Tract 4015, Alameda County, California","763","null",
"1500000US060014015003","Block Group 3, Census Tract 4015, Alameda County, California","704","null",
"1500000US060014016001","Block Group 1, Census Tract 4016, Alameda County, California","632","null",
"1500000US060014016002","Block Group 2, Census Tract 4016, Alameda County, California","621","null",
"1500000US060014017001","Block Group 1, Census Tract 4017, Alameda County, California","586","null",
"1500000US060014017002","Block Group 2, Census Tract 4017, Alameda County, California","828","null",
"1500000US060014017003","Block Group 3, Census Tract 4017, Alameda County, California","0","null",
"1500000US060014018001","Block Group 1, Census Tract 4018, Alameda County, California","724","null",
"1500000US060014018002","Block Group 2, Census Tract 4018, Alameda County, California","435","null",
"1500000US060014019001","Block Group 1, Census Tract 4019, Alameda County, California","603","null",
"1500000US060014019002","Block Group 2, Census Tract 4019, Alameda County, California","0","null",
"1500000US060014020001","Block Group 1, Census Tract 4020, Alameda County, California","725","null",
"1500000US060014021001","Block Group 1, Census Tract 4021, Alameda County, California","288","null",
"1500000US060014022001","Block Group 1, Census Tract 4022, Alameda County, California","488","null",
"1500000US060014022002","Block Group 2, Census Tract 4022, Alameda County, California","577","null",
"1500000US060014023001","Block Group 1, Census Tract 4023, Alameda County, California","711","null",
"1500000US060014024001","Block Group 1, Census Tract 4024, Alameda County, California","636","null",
"1500000US060014024002","Block Group 2, Census Tract 4024, Alameda County, California","237","null",
"1500000US060014025001","Block Group 1, Census Tract 4025, Alameda County, California","791","null",
